Contries,contries_details,GDP,GDP_details,GDP YoY,GDP YoY_details,GDP QoQ,GDP QoQ_details,Interest Rate,Interest Rate_details,Inflation Rate,Inflation_details,Jobless Rate,Jobless_details,Gov. Budget,Gov. Budget_details,Debt/GDP,Debt/GDP_details,Current Account ,Current Account_details,Population,Population_details
Finland,https://tradingeconomics.com/finland/indicators,297,https://tradingeconomics.com/finland/gdp,0.00,https://tradingeconomics.com/finland/gdp-growth-annual,-0.60,https://tradingeconomics.com/finland/gdp-growth,3.00,https://tradingeconomics.com/finland/interest-rate,8.40,https://tradingeconomics.com/finland/inflation-cpi,7.60,https://tradingeconomics.com/finland/unemployment-rate,-2.70,https://tradingeconomics.com/finland/government-budget,72.40,https://tradingeconomics.com/finland/government-debt-to-gdp,0.90,https://tradingeconomics.com/finland/current-account-to-gdp,5.55,https://tradingeconomics.com/finland/population
Romania,https://tradingeconomics.com/romania/indicators,284,https://tradingeconomics.com/romania/gdp,4.60,https://tradingeconomics.com/romania/gdp-growth-annual,1.10,https://tradingeconomics.com/romania/gdp-growth,7.00,https://tradingeconomics.com/romania/interest-rate,15.07,https://tradingeconomics.com/romania/inflation-cpi,5.60,https://tradingeconomics.com/romania/unemployment-rate,-7.10,https://tradingeconomics.com/romania/government-budget,48.80,https://tradingeconomics.com/romania/government-debt-to-gdp,-7.00,https://tradingeconomics.com/romania/current-account-to-gdp,19.20,https://tradingeconomics.com/romania/population
Czech Republic,https://tradingeconomics.com/czech-republic/indicators,282,https://tradingeconomics.com/czech-republic/gdp,0.20,https://tradingeconomics.com/czech-republic/gdp-growth-annual,-0.40,https://tradingeconomics.com/czech-republic/gdp-growth,7.00,https://tradingeconomics.com/czech-republic/interest-rate,17.50,https://tradingeconomics.com/czech-republic/inflation-cpi,3.90,https://tradingeconomics.com/czech-republic/unemployment-rate,-5.10,https://tradingeconomics.com/czech-republic/government-budget,41.90,https://tradingeconomics.com/czech-republic/government-debt-to-gdp,-0.80,https://tradingeconomics.com/czech-republic/current-account-to-gdp,10.50,https://tradingeconomics.com/czech-republic/population
Portugal,https://tradingeconomics.com/portugal/indicators,254,https://tradingeconomics.com/portugal/gdp,3.20,https://tradingeconomics.com/portugal/gdp-growth-annual,0.30,https://tradingeconomics.com/portugal/gdp-growth,3.00,https://tradingeconomics.com/portugal/interest-rate,8.20,https://tradingeconomics.com/portugal/inflation-cpi,6.50,https://tradingeconomics.com/portugal/unemployment-rate,-2.90,https://tradingeconomics.com/portugal/government-budget,127.40,https://tradingeconomics.com/portugal/government-debt-to-gdp,-1.10,https://tradingeconomics.com/portugal/current-account-to-gdp,10.30,https://tradingeconomics.com/portugal/population
New Zealand,https://tradingeconomics.com/new-zealand/indicators,250,https://tradingeconomics.com/new-zealand/gdp,6.40,https://tradingeconomics.com/new-zealand/gdp-growth-annual,2.00,https://tradingeconomics.com/new-zealand/gdp-growth,4.75,https://tradingeconomics.com/new-zealand/interest-rate,7.20,https://tradingeconomics.com/new-zealand/inflation-cpi,3.40,https://tradingeconomics.com/new-zealand/unemployment-rate,-2.70,https://tradingeconomics.com/new-zealand/government-budget,30.10,https://tradingeconomics.com/new-zealand/government-debt-to-gdp,-6.50,https://tradingeconomics.com/new-zealand/current-account-to-gdp,5.12,https://tradingeconomics.com/new-zealand/population
Iran,https://tradingeconomics.com/iran/indicators,232,https://tradingeconomics.com/iran/gdp,-5.70,https://tradingeconomics.com/iran/gdp-growth-annual,,https://tradingeconomics.com/iran/gdp-growth,18.00,https://tradingeconomics.com/iran/interest-rate,46.30,https://tradingeconomics.com/iran/inflation-cpi,9.20,https://tradingeconomics.com/iran/unemployment-rate,-3.90,https://tradingeconomics.com/iran/government-budget,41.50,https://tradingeconomics.com/iran/government-debt-to-gdp,0.70,https://tradingeconomics.com/iran/current-account-to-gdp,84.10,https://tradingeconomics.com/iran/population
Peru,https://tradingeconomics.com/peru/indicators,223,https://tradingeconomics.com/peru/gdp,1.70,https://tradingeconomics.com/peru/gdp-growth-annual,3.50,https://tradingeconomics.com/peru/gdp-growth,7.75,https://tradingeconomics.com/peru/interest-rate,8.65,https://tradingeconomics.com/peru/inflation-cpi,8.00,https://tradingeconomics.com/peru/unemployment-rate,-2.60,https://tradingeconomics.com/peru/government-budget,36.00,https://tradingeconomics.com/peru/government-debt-to-gdp,-2.90,https://tradingeconomics.com/peru/current-account-to-gdp,32.78,https://tradingeconomics.com/peru/population
Greece,https://tradingeconomics.com/greece/indicators,215,https://tradingeconomics.com/greece/gdp,2.80,https://tradingeconomics.com/greece/gdp-growth-annual,-0.50,https://tradingeconomics.com/greece/gdp-growth,3.00,https://tradingeconomics.com/greece/interest-rate,7.00,https://tradingeconomics.com/greece/inflation-cpi,10.80,https://tradingeconomics.com/greece/unemployment-rate,-7.40,https://tradingeconomics.com/greece/government-budget,193.30,https://tradingeconomics.com/greece/government-debt-to-gdp,-5.90,https://tradingeconomics.com/greece/current-account-to-gdp,10.68,https://tradingeconomics.com/greece/population
Iraq,https://tradingeconomics.com/iraq/indicators,208,https://tradingeconomics.com/iraq/gdp,3.60,https://tradingeconomics.com/iraq/gdp-growth-annual,,https://tradingeconomics.com/iraq/gdp-growth,4.00,https://tradingeconomics.com/iraq/interest-rate,4.30,https://tradingeconomics.com/iraq/inflation-cpi,14.20,https://tradingeconomics.com/iraq/unemployment-rate,-0.80,https://tradingeconomics.com/iraq/government-budget,36.70,https://tradingeconomics.com/iraq/government-debt-to-gdp,7.80,https://tradingeconomics.com/iraq/current-account-to-gdp,41.20,https://tradingeconomics.com/iraq/population
Ukraine,https://tradingeconomics.com/ukraine/indicators,200,https://tradingeconomics.com/ukraine/gdp,-30.80,https://tradingeconomics.com/ukraine/gdp-growth-annual,9.00,https://tradingeconomics.com/ukraine/gdp-growth,25.00,https://tradingeconomics.com/ukraine/interest-rate,26.00,https://tradingeconomics.com/ukraine/inflation-cpi,10.60,https://tradingeconomics.com/ukraine/unemployment-rate,-3.40,https://tradingeconomics.com/ukraine/government-budget,48.90,https://tradingeconomics.com/ukraine/government-debt-to-gdp,-1.30,https://tradingeconomics.com/ukraine/current-account-to-gdp,41.00,https://tradingeconomics.com/ukraine/population
Kazakhstan,https://tradingeconomics.com/kazakhstan/indicators,197,https://tradingeconomics.com/kazakhstan/gdp,3.20,https://tradingeconomics.com/kazakhstan/gdp-growth-annual,1.26,https://tradingeconomics.com/kazakhstan/gdp-growth,16.75,https://tradingeconomics.com/kazakhstan/interest-rate,21.30,https://tradingeconomics.com/kazakhstan/inflation-cpi,4.80,https://tradingeconomics.com/kazakhstan/unemployment-rate,-4.00,https://tradingeconomics.com/kazakhstan/government-budget,27.40,https://tradingeconomics.com/kazakhstan/government-debt-to-gdp,-3.00,https://tradingeconomics.com/kazakhstan/current-account-to-gdp,19.12,https://tradingeconomics.com/kazakhstan/population
Hungary,https://tradingeconomics.com/hungary/indicators,182,https://tradingeconomics.com/hungary/gdp,0.40,https://tradingeconomics.com/hungary/gdp-growth-annual,-0.40,https://tradingeconomics.com/hungary/gdp-growth,13.00,https://tradingeconomics.com/hungary/interest-rate,25.70,https://tradingeconomics.com/hungary/inflation-cpi,4.00,https://tradingeconomics.com/hungary/unemployment-rate,-6.10,https://tradingeconomics.com/hungary/government-budget,73.50,https://tradingeconomics.com/hungary/government-debt-to-gdp,-2.90,https://tradingeconomics.com/hungary/current-account-to-gdp,9.73,https://tradingeconomics.com/hungary/population
Qatar,https://tradingeconomics.com/qatar/indicators,180,https://tradingeconomics.com/qatar/gdp,4.30,https://tradingeconomics.com/qatar/gdp-growth-annual,3.60,https://tradingeconomics.com/qatar/gdp-growth,5.50,https://tradingeconomics.com/qatar/interest-rate,4.20,https://tradingeconomics.com/qatar/inflation-cpi,0.10,https://tradingeconomics.com/qatar/unemployment-rate,0.24,https://tradingeconomics.com/qatar/government-budget,46.90,https://tradingeconomics.com/qatar/government-debt-to-gdp,14.70,https://tradingeconomics.com/qatar/current-account-to-gdp,2.75,https://tradingeconomics.com/qatar/population
Algeria,https://tradingeconomics.com/algeria/indicators,163,https://tradingeconomics.com/algeria/gdp,2.80,https://tradingeconomics.com/algeria/gdp-growth-annual,0.80,https://tradingeconomics.com/algeria/gdp-growth,3.00,https://tradingeconomics.com/algeria/interest-rate,9.30,https://tradingeconomics.com/algeria/inflation-cpi,12.70,https://tradingeconomics.com/algeria/unemployment-rate,-7.20,https://tradingeconomics.com/algeria/government-budget,62.50,https://tradingeconomics.com/algeria/government-debt-to-gdp,-2.80,https://tradingeconomics.com/algeria/current-account-to-gdp,44.70,https://tradingeconomics.com/algeria/population
Morocco,https://tradingeconomics.com/morocco/indicators,143,https://tradingeconomics.com/morocco/gdp,1.60,https://tradingeconomics.com/morocco/gdp-growth-annual,1.10,https://tradingeconomics.com/morocco/gdp-growth,2.50,https://tradingeconomics.com/morocco/interest-rate,8.90,https://tradingeconomics.com/morocco/inflation-cpi,11.80,https://tradingeconomics.com/morocco/unemployment-rate,-6.70,https://tradingeconomics.com/morocco/government-budget,77.90,https://tradingeconomics.com/morocco/government-debt-to-gdp,-2.30,https://tradingeconomics.com/morocco/current-account-to-gdp,36.31,https://tradingeconomics.com/morocco/population
Slovakia,https://tradingeconomics.com/slovakia/indicators,115,https://tradingeconomics.com/slovakia/gdp,1.10,https://tradingeconomics.com/slovakia/gdp-growth-annual,0.30,https://tradingeconomics.com/slovakia/gdp-growth,3.00,https://tradingeconomics.com/slovakia/interest-rate,15.20,https://tradingeconomics.com/slovakia/inflation-cpi,5.82,https://tradingeconomics.com/slovakia/unemployment-rate,-5.50,https://tradingeconomics.com/slovakia/government-budget,63.10,https://tradingeconomics.com/slovakia/government-debt-to-gdp,-2.00,https://tradingeconomics.com/slovakia/current-account-to-gdp,5.46,https://tradingeconomics.com/slovakia/population
Venezuela,https://tradingeconomics.com/venezuela/indicators,112,https://tradingeconomics.com/venezuela/gdp,-1.50,https://tradingeconomics.com/venezuela/gdp-growth-annual,-23.70,https://tradingeconomics.com/venezuela/gdp-growth,57.97,https://tradingeconomics.com/venezuela/interest-rate,155.80,https://tradingeconomics.com/venezuela/inflation-cpi,6.40,https://tradingeconomics.com/venezuela/unemployment-rate,-4.50,https://tradingeconomics.com/venezuela/government-budget,241.00,https://tradingeconomics.com/venezuela/government-debt-to-gdp,-2.10,https://tradingeconomics.com/venezuela/current-account-to-gdp,32.98,https://tradingeconomics.com/venezuela/population
Ethiopia,https://tradingeconomics.com/ethiopia/indicators,111,https://tradingeconomics.com/ethiopia/gdp,6.10,https://tradingeconomics.com/ethiopia/gdp-growth-annual,,,7.00,https://tradingeconomics.com/ethiopia/interest-rate,33.90,https://tradingeconomics.com/ethiopia/inflation-cpi,19.10,https://tradingeconomics.com/ethiopia/unemployment-rate,-2.70,https://tradingeconomics.com/ethiopia/government-budget,57.00,https://tradingeconomics.com/ethiopia/government-debt-to-gdp,-3.20,https://tradingeconomics.com/ethiopia/current-account-to-gdp,117.88,https://tradingeconomics.com/ethiopia/population
Kenya,https://tradingeconomics.com/kenya/indicators,110,https://tradingeconomics.com/kenya/gdp,4.70,https://tradingeconomics.com/kenya/gdp-growth-annual,0.94,https://tradingeconomics.com/kenya/gdp-growth,8.75,https://tradingeconomics.com/kenya/interest-rate,9.20,https://tradingeconomics.com/kenya/inflation-cpi,6.60,https://tradingeconomics.com/kenya/unemployment-rate,-5.80,https://tradingeconomics.com/kenya/government-budget,68.40,https://tradingeconomics.com/kenya/government-debt-to-gdp,-5.40,https://tradingeconomics.com/kenya/current-account-to-gdp,49.40,https://tradingeconomics.com/kenya/population
Puerto Rico,https://tradingeconomics.com/puerto-rico/indicators,107,https://tradingeconomics.com/puerto-rico/gdp,1.10,https://tradingeconomics.com/puerto-rico/gdp-growth-annual,,,,,6.00,https://tradingeconomics.com/puerto-rico/inflation-cpi,6.00,https://tradingeconomics.com/puerto-rico/unemployment-rate,,,,,,,3.21,https://tradingeconomics.com/puerto-rico/population
Cuba,https://tradingeconomics.com/cuba/indicators,107,https://tradingeconomics.com/cuba/gdp,1.70,https://tradingeconomics.com/cuba/gdp-growth-annual,,,2.25,https://tradingeconomics.com/cuba/interest-rate,42.08,https://tradingeconomics.com/cuba/inflation-cpi,2.80,https://tradingeconomics.com/cuba/unemployment-rate,-11.70,https://tradingeconomics.com/cuba/government-budget,117.00,https://tradingeconomics.com/cuba/government-debt-to-gdp,0.90,https://tradingeconomics.com/cuba/current-account-to-gdp,11.35,https://tradingeconomics.com/cuba/population
Ecuador,https://tradingeconomics.com/ecuador/indicators,106,https://tradingeconomics.com/ecuador/gdp,3.20,https://tradingeconomics.com/ecuador/gdp-growth-annual,1.67,https://tradingeconomics.com/ecuador/gdp-growth,8.54,https://tradingeconomics.com/ecuador/interest-rate,2.90,https://tradingeconomics.com/ecuador/inflation-cpi,3.20,https://tradingeconomics.com/ecuador/unemployment-rate,-8.90,https://tradingeconomics.com/ecuador/government-budget,59.00,https://tradingeconomics.com/ecuador/government-debt-to-gdp,2.90,https://tradingeconomics.com/ecuador/current-account-to-gdp,17.73,https://tradingeconomics.com/ecuador/population
Kuwait,https://tradingeconomics.com/kuwait/indicators,106,https://tradingeconomics.com/kuwait/gdp,1.30,https://tradingeconomics.com/kuwait/gdp-growth-annual,4.70,,4.00,https://tradingeconomics.com/kuwait/interest-rate,3.31,https://tradingeconomics.com/kuwait/inflation-cpi,3.70,https://tradingeconomics.com/kuwait/unemployment-rate,-0.50,https://tradingeconomics.com/kuwait/government-budget,7.10,https://tradingeconomics.com/kuwait/government-debt-to-gdp,16.10,https://tradingeconomics.com/kuwait/current-account-to-gdp,4.33,https://tradingeconomics.com/kuwait/population
Dominican Republic,https://tradingeconomics.com/dominican-republic/indicators,94,https://tradingeconomics.com/dominican-republic/gdp,5.40,https://tradingeconomics.com/dominican-republic/gdp-growth-annual,-1.18,,8.50,https://tradingeconomics.com/dominican-republic/interest-rate,7.24,https://tradingeconomics.com/dominican-republic/inflation-cpi,4.80,https://tradingeconomics.com/dominican-republic/unemployment-rate,-2.80,https://tradingeconomics.com/dominican-republic/government-budget,50.40,https://tradingeconomics.com/dominican-republic/government-debt-to-gdp,-2.90,https://tradingeconomics.com/dominican-republic/current-account-to-gdp,11.03,https://tradingeconomics.com/dominican-republic/population
Sri Lanka,https://tradingeconomics.com/sri-lanka/indicators,89,https://tradingeconomics.com/sri-lanka/gdp,-11.80,https://tradingeconomics.com/sri-lanka/gdp-growth-annual,1.40,https://tradingeconomics.com/sri-lanka/gdp-growth,15.50,https://tradingeconomics.com/sri-lanka/interest-rate,50.60,https://tradingeconomics.com/sri-lanka/inflation-cpi,5.00,https://tradingeconomics.com/sri-lanka/unemployment-rate,-12.20,https://tradingeconomics.com/sri-lanka/government-budget,104.60,https://tradingeconomics.com/sri-lanka/government-debt-to-gdp,-4.00,https://tradingeconomics.com/sri-lanka/current-account-to-gdp,22.16,https://tradingeconomics.com/sri-lanka/population
Oman,https://tradingeconomics.com/oman/indicators,88,https://tradingeconomics.com/oman/gdp,2.10,https://tradingeconomics.com/oman/gdp-growth-annual,,,4.75,https://tradingeconomics.com/oman/interest-rate,1.90,https://tradingeconomics.com/oman/inflation-cpi,3.10,https://tradingeconomics.com/oman/unemployment-rate,-2.60,https://tradingeconomics.com/oman/government-budget,67.70,https://tradingeconomics.com/oman/government-debt-to-gdp,-5.00,https://tradingeconomics.com/oman/current-account-to-gdp,4.53,https://tradingeconomics.com/oman/population
Luxembourg,https://tradingeconomics.com/luxembourg/indicators,86,https://tradingeconomics.com/luxembourg/gdp,3.00,https://tradingeconomics.com/luxembourg/gdp-growth-annual,1.10,https://tradingeconomics.com/luxembourg/gdp-growth,3.00,https://tradingeconomics.com/luxembourg/interest-rate,4.80,https://tradingeconomics.com/luxembourg/inflation-cpi,4.90,https://tradingeconomics.com/luxembourg/unemployment-rate,0.80,https://tradingeconomics.com/luxembourg/government-budget,24.50,https://tradingeconomics.com/luxembourg/government-debt-to-gdp,4.80,https://tradingeconomics.com/luxembourg/current-account-to-gdp,0.63,https://tradingeconomics.com/luxembourg/population
Guatemala,https://tradingeconomics.com/guatemala/indicators,86,https://tradingeconomics.com/guatemala/gdp,3.80,https://tradingeconomics.com/guatemala/gdp-growth-annual,,https://tradingeconomics.com/guatemala/gdp-growth,4.50,https://tradingeconomics.com/guatemala/interest-rate,9.69,https://tradingeconomics.com/guatemala/inflation-cpi,2.20,https://tradingeconomics.com/guatemala/unemployment-rate,-4.90,https://tradingeconomics.com/guatemala/government-budget,29.98,https://tradingeconomics.com/guatemala/government-debt-to-gdp,2.50,https://tradingeconomics.com/guatemala/current-account-to-gdp,18.38,https://tradingeconomics.com/guatemala/population
Bulgaria,https://tradingeconomics.com/bulgaria/indicators,84,https://tradingeconomics.com/bulgaria/gdp,2.10,https://tradingeconomics.com/bulgaria/gdp-growth-annual,0.50,https://tradingeconomics.com/bulgaria/gdp-growth,1.42,https://tradingeconomics.com/bulgaria/interest-rate,16.40,https://tradingeconomics.com/bulgaria/inflation-cpi,4.80,https://tradingeconomics.com/bulgaria/unemployment-rate,-3.90,https://tradingeconomics.com/bulgaria/government-budget,23.00,https://tradingeconomics.com/bulgaria/government-debt-to-gdp,-0.30,https://tradingeconomics.com/bulgaria/current-account-to-gdp,6.52,https://tradingeconomics.com/bulgaria/population
Ghana,https://tradingeconomics.com/ghana/indicators,78,https://tradingeconomics.com/ghana/gdp,2.90,https://tradingeconomics.com/ghana/gdp-growth-annual,0.70,https://tradingeconomics.com/ghana/gdp-growth,28.00,https://tradingeconomics.com/ghana/interest-rate,53.60,https://tradingeconomics.com/ghana/inflation-cpi,4.70,https://tradingeconomics.com/ghana/unemployment-rate,-12.10,https://tradingeconomics.com/ghana/government-budget,81.80,https://tradingeconomics.com/ghana/government-debt-to-gdp,-2.10,https://tradingeconomics.com/ghana/current-account-to-gdp,30.96,https://tradingeconomics.com/ghana/population
Ivory Coast,https://tradingeconomics.com/ivory-coast/indicators,70,https://tradingeconomics.com/ivory-coast/gdp,6.40,https://tradingeconomics.com/ivory-coast/gdp-growth-annual,,,4.75,https://tradingeconomics.com/ivory-coast/interest-rate,4.80,https://tradingeconomics.com/ivory-coast/inflation-cpi,3.50,https://tradingeconomics.com/ivory-coast/unemployment-rate,-5.00,https://tradingeconomics.com/ivory-coast/government-budget,51.40,https://tradingeconomics.com/ivory-coast/government-debt-to-gdp,-3.80,https://tradingeconomics.com/ivory-coast/current-account-to-gdp,29.39,https://tradingeconomics.com/ivory-coast/population
Croatia,https://tradingeconomics.com/croatia/indicators,69,https://tradingeconomics.com/croatia/gdp,4.00,https://tradingeconomics.com/croatia/gdp-growth-annual,-0.40,https://tradingeconomics.com/croatia/gdp-growth,3.00,https://tradingeconomics.com/croatia/interest-rate,11.90,https://tradingeconomics.com/croatia/inflation-cpi,7.20,https://tradingeconomics.com/croatia/unemployment-rate,-2.60,https://tradingeconomics.com/croatia/government-budget,78.40,https://tradingeconomics.com/croatia/government-debt-to-gdp,1.80,https://tradingeconomics.com/croatia/current-account-to-gdp,3.85,https://tradingeconomics.com/croatia/population
Uzbekistan,https://tradingeconomics.com/uzbekistan/indicators,69,https://tradingeconomics.com/uzbekistan/gdp,5.70,https://tradingeconomics.com/uzbekistan/gdp-growth-annual,,https://tradingeconomics.com/uzbekistan/gdp-growth,15.00,https://tradingeconomics.com/uzbekistan/interest-rate,12.20,https://tradingeconomics.com/uzbekistan/inflation-cpi,9.60,https://tradingeconomics.com/uzbekistan/unemployment-rate,-6.00,https://tradingeconomics.com/uzbekistan/government-budget,38.00,https://tradingeconomics.com/uzbekistan/government-debt-to-gdp,-7.00,https://tradingeconomics.com/uzbekistan/current-account-to-gdp,35.27,https://tradingeconomics.com/uzbekistan/population
Tanzania,https://tradingeconomics.com/tanzania/indicators,68,https://tradingeconomics.com/tanzania/gdp,5.20,https://tradingeconomics.com/tanzania/gdp-growth-annual,1.50,https://tradingeconomics.com/tanzania/gdp-growth,5.00,https://tradingeconomics.com/tanzania/interest-rate,4.90,https://tradingeconomics.com/tanzania/inflation-cpi,9.30,https://tradingeconomics.com/tanzania/unemployment-rate,-4.00,https://tradingeconomics.com/tanzania/government-budget,37.30,https://tradingeconomics.com/tanzania/government-debt-to-gdp,-3.40,https://tradingeconomics.com/tanzania/current-account-to-gdp,61.50,https://tradingeconomics.com/tanzania/population
Belarus,https://tradingeconomics.com/belarus/indicators,68,https://tradingeconomics.com/belarus/gdp,-5.45,https://tradingeconomics.com/belarus/gdp-growth-annual,,,11.50,https://tradingeconomics.com/belarus/interest-rate,12.00,https://tradingeconomics.com/belarus/inflation-cpi,3.90,https://tradingeconomics.com/belarus/unemployment-rate,-0.30,https://tradingeconomics.com/belarus/government-budget,33.50,https://tradingeconomics.com/belarus/government-debt-to-gdp,-2.70,https://tradingeconomics.com/belarus/current-account-to-gdp,9.25,https://tradingeconomics.com/belarus/population
Angola,https://tradingeconomics.com/angola/indicators,67,https://tradingeconomics.com/angola/gdp,3.90,https://tradingeconomics.com/angola/gdp-growth-annual,0.80,https://tradingeconomics.com/angola/gdp-growth,18.00,https://tradingeconomics.com/angola/interest-rate,12.55,https://tradingeconomics.com/angola/inflation-cpi,30.20,https://tradingeconomics.com/angola/unemployment-rate,2.70,https://tradingeconomics.com/angola/government-budget,85.00,https://tradingeconomics.com/angola/government-debt-to-gdp,12.40,https://tradingeconomics.com/angola/current-account-to-gdp,33.00,https://tradingeconomics.com/angola/population
Lithuania,https://tradingeconomics.com/lithuania/indicators,66,https://tradingeconomics.com/lithuania/gdp,-0.40,https://tradingeconomics.com/lithuania/gdp-growth-annual,-1.70,https://tradingeconomics.com/lithuania/gdp-growth,3.00,https://tradingeconomics.com/lithuania/interest-rate,20.00,https://tradingeconomics.com/lithuania/inflation-cpi,9.20,https://tradingeconomics.com/lithuania/unemployment-rate,-1.00,https://tradingeconomics.com/lithuania/government-budget,44.30,https://tradingeconomics.com/lithuania/government-debt-to-gdp,1.40,https://tradingeconomics.com/lithuania/current-account-to-gdp,2.80,https://tradingeconomics.com/lithuania/population
Myanmar,https://tradingeconomics.com/myanmar/indicators,65,https://tradingeconomics.com/myanmar/gdp,-18.00,https://tradingeconomics.com/myanmar/gdp-growth-annual,,,7.00,https://tradingeconomics.com/myanmar/interest-rate,19.55,https://tradingeconomics.com/myanmar/inflation-cpi,2.20,https://tradingeconomics.com/myanmar/unemployment-rate,-7.80,https://tradingeconomics.com/myanmar/government-budget,62.50,https://tradingeconomics.com/myanmar/government-debt-to-gdp,-1.10,https://tradingeconomics.com/myanmar/current-account-to-gdp,54.81,https://tradingeconomics.com/myanmar/population
Syria,https://tradingeconomics.com/syria/indicators,65,https://tradingeconomics.com/syria/gdp,-3.90,https://tradingeconomics.com/syria/gdp-growth-annual,,,,,139.46,https://tradingeconomics.com/syria/inflation-cpi,10.60,https://tradingeconomics.com/syria/unemployment-rate,-11.40,https://tradingeconomics.com/syria/government-budget,30.01,https://tradingeconomics.com/syria/government-debt-to-gdp,-0.62,https://tradingeconomics.com/syria/current-account-to-gdp,18.27,https://tradingeconomics.com/syria/population
Panama,https://tradingeconomics.com/panama/indicators,64,https://tradingeconomics.com/panama/gdp,9.50,https://tradingeconomics.com/panama/gdp-growth-annual,,,2.14,https://tradingeconomics.com/panama/interest-rate,2.71,https://tradingeconomics.com/panama/inflation-cpi,14.50,https://tradingeconomics.com/panama/unemployment-rate,-7.12,https://tradingeconomics.com/panama/government-budget,63.66,https://tradingeconomics.com/panama/government-debt-to-gdp,-2.20,https://tradingeconomics.com/panama/current-account-to-gdp,4.38,https://tradingeconomics.com/panama/population
Costa Rica,https://tradingeconomics.com/costa-rica/indicators,64,https://tradingeconomics.com/costa-rica/gdp,3.30,https://tradingeconomics.com/costa-rica/gdp-growth-annual,-0.20,,9.00,https://tradingeconomics.com/costa-rica/interest-rate,7.65,https://tradingeconomics.com/costa-rica/inflation-cpi,11.70,https://tradingeconomics.com/costa-rica/unemployment-rate,-5.00,https://tradingeconomics.com/costa-rica/government-budget,78.64,https://tradingeconomics.com/costa-rica/government-debt-to-gdp,-3.30,https://tradingeconomics.com/costa-rica/current-account-to-gdp,5.21,https://tradingeconomics.com/costa-rica/population
Serbia,https://tradingeconomics.com/serbia/indicators,63,https://tradingeconomics.com/serbia/gdp,0.40,https://tradingeconomics.com/serbia/gdp-growth-annual,-0.70,https://tradingeconomics.com/serbia/gdp-growth,5.50,https://tradingeconomics.com/serbia/interest-rate,15.80,https://tradingeconomics.com/serbia/inflation-cpi,9.20,https://tradingeconomics.com/serbia/unemployment-rate,-3.30,https://tradingeconomics.com/serbia/government-budget,56.50,https://tradingeconomics.com/serbia/government-debt-to-gdp,-4.40,https://tradingeconomics.com/serbia/current-account-to-gdp,6.87,https://tradingeconomics.com/serbia/population
Slovenia,https://tradingeconomics.com/slovenia/indicators,62,https://tradingeconomics.com/slovenia/gdp,0.20,https://tradingeconomics.com/slovenia/gdp-growth-annual,0.80,https://tradingeconomics.com/slovenia/gdp-growth,3.00,https://tradingeconomics.com/slovenia/interest-rate,9.30,https://tradingeconomics.com/slovenia/inflation-cpi,5.40,https://tradingeconomics.com/slovenia/unemployment-rate,-4.70,https://tradingeconomics.com/slovenia/government-budget,74.70,https://tradingeconomics.com/slovenia/government-debt-to-gdp,3.30,https://tradingeconomics.com/slovenia/current-account-to-gdp,2.11,https://tradingeconomics.com/slovenia/population
Uruguay,https://tradingeconomics.com/uruguay/indicators,59,https://tradingeconomics.com/uruguay/gdp,3.70,https://tradingeconomics.com/uruguay/gdp-growth-annual,0.60,https://tradingeconomics.com/uruguay/gdp-growth,11.50,https://tradingeconomics.com/uruguay/interest-rate,7.55,https://tradingeconomics.com/uruguay/inflation-cpi,8.50,https://tradingeconomics.com/uruguay/unemployment-rate,-3.80,https://tradingeconomics.com/uruguay/government-budget,71.50,https://tradingeconomics.com/uruguay/government-debt-to-gdp,-1.80,https://tradingeconomics.com/uruguay/current-account-to-gdp,3.54,https://tradingeconomics.com/uruguay/population
Azerbaijan,https://tradingeconomics.com/azerbaijan/indicators,55,https://tradingeconomics.com/azerbaijan/gdp,4.60,https://tradingeconomics.com/azerbaijan/gdp-growth-annual,,https://tradingeconomics.com/azerbaijan/gdp-growth,8.50,https://tradingeconomics.com/azerbaijan/interest-rate,13.60,https://tradingeconomics.com/azerbaijan/inflation-cpi,6.00,https://tradingeconomics.com/azerbaijan/unemployment-rate,-1.00,https://tradingeconomics.com/azerbaijan/government-budget,18.20,https://tradingeconomics.com/azerbaijan/government-debt-to-gdp,15.20,https://tradingeconomics.com/azerbaijan/current-account-to-gdp,10.16,https://tradingeconomics.com/azerbaijan/population
Congo,https://tradingeconomics.com/congo/indicators,54,https://tradingeconomics.com/congo/gdp,8.50,https://tradingeconomics.com/congo/gdp-growth-annual,,https://tradingeconomics.com/congo/gdp-growth,8.25,https://tradingeconomics.com/congo/interest-rate,14.06,https://tradingeconomics.com/congo/inflation-cpi,46.10,https://tradingeconomics.com/congo/unemployment-rate,-1.60,https://tradingeconomics.com/congo/government-budget,14.70,https://tradingeconomics.com/congo/government-debt-to-gdp,-0.50,https://tradingeconomics.com/congo/current-account-to-gdp,95.01,https://tradingeconomics.com/congo/population
